approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
6.055096e-05,0.0,200.0,200.0,0.007301032543182373,4818,395,0.2973863,2.0119405e-05,808960,684.3812339305878,3235840,87.68063
0.00025561207,0.0011291504,200.0,200.0,0.0044838786125183105,4806,396,0.30295652,-0.0002142503,811008,686.0862247943878,3244032,91.1613
0.00074335886,0.0035095215,200.0,200.0,0.0072212815284729,4796,397,0.30515677,-0.00014512762,813056,687.7945148944855,3252224,87.54626
0.00040992507,0.00289917,200.0,200.0,0.0045844316482543945,4798,398,0.30899975,-0.00017928625,815104,689.5022478103638,3260416,88.79558
1.7043514e-05,0.0,200.0,200.0,0.0003281235694885254,4813,399,0.31692994,6.317228e-05,817152,691.2045068740845,3268608,88.75786
0.0006426421,0.002105713,200.0,200.0,0.0020235776901245117,4808,400,0.31410593,-0.00024967693,819200,692.9086589813232,3276800,89.40626
0.0011532445,0.0058288574,200.0,200.0,-0.003045320510864258,4813,401,0.31921235,-0.00046506437,821248,694.6174337863922,3284992,88.830284
4.870716e-05,0.0,200.0,200.0,0.0003495216369628906,4820,402,0.31292838,6.592319e-05,823296,696.3173630237579,3293184,88.76647
0.0010095763,0.008850098,200.0,200.0,0.0012973546981811523,4786,403,0.3198794,-0.00029628188,825344,698.0294117927551,3301376,88.408226
0.00012673641,0.0,200.0,200.0,0.011121690273284912,4806,404,0.32225865,-1.0744887e-05,827392,699.7342779636383,3309568,87.67279
0.00045161546,0.0005493164,200.0,200.0,0.006587684154510498,4809,405,0.31859264,-0.00016477458,829440,701.4379739761353,3317760,87.25289
0.00015786423,0.00024414062,200.0,200.0,0.01724874973297119,4813,406,0.3206035,-0.00023178694,831488,703.1403861045837,3325952,86.64904
3.7301354e-05,0.0,200.0,200.0,0.009372889995574951,4820,407,0.32271364,-3.416271e-05,833536,704.8401920795441,3334144,87.39165
0.00066544034,0.0033874512,200.0,200.0,0.01141655445098877,4814,408,0.31563812,-0.0005310209,835584,706.5423028469086,3342336,86.95609
0.0016030716,0.01550293,200.0,200.0,0.010353684425354004,4821,409,0.31783664,-0.000609312,837632,708.2418220043182,3350528,87.744316
0.00039619557,0.0020751953,200.0,200.0,0.016967415809631348,4806,410,0.31377596,-0.0005782914,839680,709.9467170238495,3358720,87.68134
4.9218183e-05,0.0,200.0,200.0,0.016008973121643066,4820,411,0.3005983,2.8887458e-05,841728,711.6467299461365,3366912,88.03031
3.658935e-05,0.0,200.0,200.0,0.0025096535682678223,4823,412,0.30185443,-1.9319676e-05,843776,713.3455967903137,3375104,86.83373
0.0011472134,0.011413574,200.0,200.0,0.012236595153808594,4800,413,0.30974787,-0.000523546,845824,715.0524117946625,3383296,88.73465
0.000258389,3.0517578e-05,200.0,200.0,0.024148404598236084,4737,414,0.31034982,-0.00035773023,847872,716.7821278572083,3391488,87.102036
0.0006676939,0.0056152344,200.0,200.0,0.014875411987304688,4813,415,0.31229454,-0.00044481253,849920,718.4846580028534,3399680,87.76398
0.001920442,0.021240234,200.0,200.0,0.016665756702423096,4817,416,0.31294236,-0.00071589433,851968,720.1854648590088,3407872,85.37079
0.000101942926,0.0,200.0,200.0,0.035676002502441406,4800,417,0.31189722,0.00020942157,854016,721.892324924469,3416064,86.882744
